Game,Author,Year,Genre,Length,Difficulty,URL
sacrament i.,melessthanthree,2017,Story,20-60m,None,https://melessthanthree.itch.io/sacrament-i
Charging...,Infinitestrike,2017,Story,< 20m,None,https://infinitestrike.itch.io/charging
Butterfly Soup,Brianna Lei,2017,Story,> 2hrs,None,https://brianna-lei.itch.io/butterfly-soup
Things That Aren't Real,"wasnotwhynot, Max Goodin",2017,Poem,20-60m,None,https://vextro.itch.io/things-that-arent-real
All Our Asias,Melos Han-Tani,2017,Story,1-2hrs,None,https://han-tani.itch.io/aoa
pfft,Wendy Wildshape,2018,Platformer,20-60m,Low,https://wendywildshape.itch.io/pfft
Bitsy Spider,rabbitboots,2018,Story,< 20m,Low,https://rabbitboots.itch.io/bitsy-spider
Facets,farawaytimes,2018,RPG,> 2hrs,Hard,https://farawaytimes.itch.io/facets
Monster Hug,JDM,2018,Platformer,< 20m,Low,https://jdmgames.itch.io/monster-hug
"In the pines, in the pines, where the sun never shines",Laura Hunt,2019,Poem,< 20m,None,https://laurahunt.itch.io/in-the-pines
Brief History of Perverted Dragon Warrior ROM Hacks,nilson,2019,Story,20-60m,None,https://nilson.itch.io/brief-history-of-perverted-dragon-warrior-rom-hacks
The List,Nikki (Spiral System),2019,Platformer,> 2hrs,Low,https://skirtdingo.itch.io/the-list
VIDEOPULP: Super Carty™'s Dread,"fotocopiadora, marikedrawings",2019,Poem,< 20m,None,https://fotocopiadora.itch.io/videopulp
P1 Select,Michael Brough,2019,Puzzle,20-60m,Medium,https://smestorp.itch.io/p1-select
Stew-pendous Adventures of Stu Potts!,Dilis,2019,Story,< 20m,None,https://dilis.itch.io/stew-pendous
Neut Tower,Spindley Q Frog,2020,Puzzle,20-60m,Low,https://spindleyq.itch.io/neut-tower
dandelions,lotus,2020,Story,20-60m,None,https://lotusrootrecords.itch.io/dandelions
QUAD DEATH: Core Meltdown EX,fotocopiadora,2020,Platformer,20-60m,Hard,https://fotocopiadora.itch.io/quad-death
Mossland,adam le doux,2020,Poem,< 20m,Low,https://ledoux.itch.io/mossland
"If On A Winter's Night, Four Travelers",Laura Hunt,2020,Story,> 2hrs,Low,https://laurahunt.itch.io/if-on-a-winters-night-four-travelers
Rena Game,brlka,2020,Platformer,< 20m,Medium,https://brlka.itch.io/rena-game
The Reggae Operation,NARFNra,2020,Platformer,1-2hrs,Hard,https://narfnra.itch.io/the-reggae-operation
Polly the Frog,Brad-Games,2021,Platformer,20-60m,Low,https://brad-games.itch.io/polly-the-frog
Madotsuki's Closet,Bagenzo,2021,Story,20-60m,None,https://bagenzo.itch.io/madotsukis-closet
Luigi Floating on an Egg Over the Sea,Polly,2021,Action,20-60m,Medium,https://socksmakepeoplesexy.itch.io/luigi-floating-on-an-egg-over-the-sea
Cataphract OI,sraëka-lillian,2021,RPG,> 2hrs,Hard,https://tunditur-unda.itch.io/cataphract-oi
Triangle Run,Terry Cavanagh,2021,Action,< 20m,Low,https://terrycavanagh.itch.io/triangle-run
Winter,"communistsister, Elliot",2021,Story,20-60m,None,https://communistsister.itch.io/winter
awake,droqen,2022,Poem,< 20m,Low,https://droqen.itch.io/awake
FRANKEN,splendidland,2022,RPG,1-2hrs,Low,https://splendidland.itch.io/franken
Licorice Recoil,farawaytimes,2022,Story,< 20m,None,https://farawaytimes.itch.io/licorice-recoil
Corris ~Lost Princess & the Spring of Rebirth,Thomas L.,2022,RPG,> 2hrs,Medium,https://jetstorm4.itch.io/corris-lost-princess-the-spring-of-rebirth
stairdown,"Sean, Emma Dee",2022,Story,< 20m,None,https://dominoclub.itch.io/stairdown
Butterfly Soup 2,Brianna Lei,2022,Story,> 2hrs,None,https://brianna-lei.itch.io/butterfly-soup-2
Sylvie Lime,sylvie,2022,Platformer,> 2hrs,Hard,https://sylvie.itch.io/sylvie-lime
A Circle of Charity,Bagenzo,2023,Story,20-60m,None,https://bagenzo.itch.io/charity
ASDF 2,Polly,2023,Action,< 20m,Medium,https://socksmakepeoplesexy.itch.io/asdf2
Daisy Goes to Slime Castle for Tea,Zeloz Mk.II,2023,RPG,> 2hrs,Medium,https://zeloz-mkii.itch.io/daisy-slime-castle
Joey Wamone's Normal Bedtime Routine That Is Absolutely Not A Recurring Tooth Decay Nightmare,tomsmizzle,2023,Platformer,20-60m,Low,https://dominoclub.itch.io/joey-wamones-normal-bedtime-routine-that-is-absolutely-not-a-recurring-tooth-dec
"Peter Stinger, Scorpion Ethicist",Computer James,2023,Story,< 20m,None,https://computerjames.itch.io/scorpheus
greasemnk++,fotocopiadora,2023,RPG,1-2hrs,Hard,https://fotocopiadora.itch.io/greasemnk
The Super Pie Throwing,luckyguilty,2023,Action,1-2hrs,Medium,https://luckyguilty.itch.io/the-super-pie-throwing
with the last moonbeam,adam le doux,2023,Platformer,1-2hrs,Low,https://ledoux.itch.io/moonbeam
[EXTERNAL COMMUNICATION],Em Reed,2024,Story,20-60m,None,https://dominoclub.itch.io/external-communication
A Next Level Adventure,Gitrogatog,2024,RPG,20-60m,Low,https://gitrogatog.itch.io/a-next-level-adventure
20 Small Mazes,FLEB,2024,Puzzle,1-2hrs,Medium,https://fleb.itch.io/20-small-mazes
Ink Jump,Martin Mauersics,2024,Platformer,< 20m,Low,https://mausgames.itch.io/ink-jump
The Ballad of Swishy,wasnotwhynot,2024,RPG,> 2hrs,Hard,https://wasnotwhynot.itch.io/the-ballad-of-swishy
TIVT,sarn,2024,Action,20-60m,Low,https://saturnyoshi.itch.io/tivt
Sylvie RPG: 7 Elf Apocalypse,sylvie,2024,RPG,> 2hrs,Hard,https://sylvie.itch.io/sylvie-rpg
